;ESTACION;PRODUCTO;INICIAL;FINAL;PVP;ESTACION;PAGO;TARIFA
6;73;1;02/08/2025;20/08/2025;1,807;TORREJON;MENSUAL;TARIFA 12
6;19;1;01/08/2025;20/08/2025;1,787;ARCOS JALON;MENSUAL;TARIFA 12
6;26;1;01/08/2025;20/08/2025;1,794;ALFAJARIN;MENSUAL;TARIFA 12
6;1;1;01/08/2025;20/08/2025;1,811;TORREMOCHA;MENSUAL;TARIFA 12
6;2;1;01/08/2025;20/08/2025;1,811;MADRID;MENSUAL;TARIFA 12
6;55;1;01/08/2025;20/08/2025;1,819;VALLECAS;MENSUAL;TARIFA 12
6;96;1;01/08/2025;20/08/2025;1,807;ES VALDEMORO;MENSUAL;TARIFA 12
6;9;1;01/08/2025;20/08/2025;1,770;PAMPLONA;MENSUAL;TARIFA 12
6;10;1;01/08/2025;20/08/2025;1,770;PAMPLONA;MENSUAL;TARIFA 12
6;74;1;01/08/2025;20/08/2025;1,807;HUMILLADERO;MENSUAL;TARIFA 12
6;75;1;01/08/2025;20/08/2025;1,807;HUMILLADERO;MENSUAL;TARIFA 12
6;27;1;01/08/2025;20/08/2025;1,811;UCLES;MENSUAL;TARIFA 12
6;72;1;01/08/2025;20/08/2025;1,807;BENAMEJI;MENSUAL;TARIFA 12
6;76;1;01/08/2025;20/08/2025;1,782;SORIA ALCUBILLAS;MENSUAL;TARIFA 12
6;83;1;01/08/2025;20/08/2025;1,794;ES RIBA-ROJA;MENSUAL;TARIFA 12
6;84;1;01/08/2025;20/08/2025;1,794;ES PISTA DE SILLA;MENSUAL;TARIFA 12
6;85;1;01/08/2025;20/08/2025;1,794;ES REAL DE GANDIA;MENSUAL;TARIFA 12
6;87;1;01/08/2025;20/08/2025;1,794;ES CHIVA;MENSUAL;TARIFA 12
6;88;1;01/08/2025;20/08/2025;1,794;ES ALBERIC;MENSUAL;TARIFA 12
6;18;1;01/08/2025;20/08/2025;1,782;ABRERA;MENSUAL;TARIFA 12
6;70;1;01/08/2025;20/08/2025;1,819;VALDEHERRERA;MENSUAL;TARIFA 12
6;23;1;01/08/2025;20/08/2025;1,819;EL CASAR;MENSUAL;TARIFA 12
6;66;1;01/08/2025;20/08/2025;0,000;MONTE REAL;MENSUAL;TARIFA 12
6;8;1;01/08/2025;20/08/2025;1,782;LA JOYOSA;MENSUAL;TARIFA 12
6;82;1;01/08/2025;20/08/2025;1,787;JUNDIZ NORPETROL;MENSUAL;TARIFA 12
6;16;1;01/08/2025;20/08/2025;1,915;OLIVERAL;MENSUAL;TARIFA 12
6;14;1;01/08/2025;20/08/2025;0,000;Z.FRANCA;MENSUAL;TARIFA 12
6;5;1;01/08/2025;20/08/2025;1,799;GUARROMAN;MENSUAL;TARIFA 12
6;41;1;01/08/2025;20/08/2025;1,807;VALDEPEÑAS;MENSUAL;TARIFA 12
6;64;1;01/08/2025;20/08/2025;1,799;OPEN;MENSUAL;TARIFA 12
6;44;1;01/08/2025;20/08/2025;1,770;TJOIL SEVILLA;MENSUAL;TARIFA 12
6;33;1;01/08/2025;20/08/2025;1,822;BENAVENTE;MENSUAL;TARIFA 12
6;34;1;01/08/2025;20/08/2025;1,793;IRUN ZAISA III;MENSUAL;TARIFA 12
6;91;1;01/08/2025;20/08/2025;1,794;TARRAGONA ;MENSUAL;TARIFA 12
6;53;1;01/08/2025;20/08/2025;1,794;VILAMALLA;MENSUAL;TARIFA 12
6;45;1;01/08/2025;20/08/2025;1,807;LACHAR;MENSUAL;TARIFA 12
6;47;1;01/08/2025;20/08/2025;1,794;LA CAMPANA;MENSUAL;TARIFA 12
6;56;1;01/08/2025;20/08/2025;1,831;AVILESINA;MENSUAL;TARIFA 12
6;61;1;01/08/2025;20/08/2025;1,807;GOR;MENSUAL;TARIFA 12
6;60;1;01/08/2025;20/08/2025;1,782;LLERS;MENSUAL;TARIFA 12
6;65;1;01/08/2025;20/08/2025;1,807;DARRO - A92;MENSUAL;TARIFA 12
6;68;1;01/08/2025;20/08/2025;1,871;MERIDA;MENSUAL;TARIFA 12
6;67;1;01/08/2025;20/08/2025;1,770;SANCTI-SPIRITUS;MENSUAL;TARIFA 12
6;77;1;01/08/2025;20/08/2025;1,770;MURCIA;MENSUAL;TARIFA 12
6;78;1;01/08/2025;20/08/2025;1,770;NORIOIL;MENSUAL;TARIFA 12
6;80;1;01/08/2025;20/08/2025;1,820;SAN VICENTE DEL PALACIO;MENSUAL;TARIFA 12
6;81;1;01/08/2025;20/08/2025;1,832;WATERY ARANDA;MENSUAL;TARIFA 12
6;79;1;01/08/2025;20/08/2025;1,746;BERA ;MENSUAL;TARIFA 12
6;71;1;01/08/2025;20/08/2025;1,799;PUERTO DE BARCELONA;MENSUAL;TARIFA 12
6;86;1;01/08/2025;20/08/2025;1,823;GIRONA-CALSINA;MENSUAL;TARIFA 12
6;89;1;01/08/2025;20/08/2025;1,794;CATARROJA;MENSUAL;TARIFA 12
6;90;1;01/08/2025;20/08/2025;1,794;MANISES - EXOIL;MENSUAL;TARIFA 12
6;93;1;01/08/2025;20/08/2025;1,828;FEGOBLAN PONTEVEDRA;MENSUAL;TARIFA 12
6;94;1;01/08/2025;20/08/2025;1,817;VEGA DE VALCARCE;MENSUAL;TARIFA 12
6;95;1;01/08/2025;20/08/2025;1,827;HOILA TOLEDO;MENSUAL;TARIFA 12
6;97;1;01/08/2025;20/08/2025;1,803;PETREM TRUCKS FIGUERES;MENSUAL;TARIFA 12
24;73;1;01/08/2025;20/08/2025;1,814;TORREJON;MENSUAL;TARIFA 18
24;19;1;01/08/2025;20/08/2025;1,794;ARCOS JALON;MENSUAL;TARIFA 18
24;26;1;01/08/2025;20/08/2025;1,802;ALFAJARIN;MENSUAL;TARIFA 18
24;1;1;01/08/2025;20/08/2025;1,819;TORREMOCHA;MENSUAL;TARIFA 18
24;2;1;01/08/2025;20/08/2025;1,819;MADRID;MENSUAL;TARIFA 18
24;55;1;01/08/2025;20/08/2025;1,826;VALLECAS;MENSUAL;TARIFA 18
24;96;1;01/08/2025;20/08/2025;1,814;ES VALDEMORO;MENSUAL;TARIFA 18
24;9;1;01/08/2025;20/08/2025;1,777;PAMPLONA;MENSUAL;TARIFA 18
24;10;1;01/08/2025;20/08/2025;1,777;PAMPLONA;MENSUAL;TARIFA 18
24;74;1;01/08/2025;20/08/2025;1,814;HUMILLADERO;MENSUAL;TARIFA 18
24;75;1;01/08/2025;20/08/2025;1,814;HUMILLADERO;MENSUAL;TARIFA 18
24;27;1;01/08/2025;20/08/2025;1,819;UCLES;MENSUAL;TARIFA 18
24;72;1;01/08/2025;20/08/2025;1,814;BENAMEJI;MENSUAL;TARIFA 18
24;76;1;01/08/2025;20/08/2025;1,790;SORIA ALCUBILLAS;MENSUAL;TARIFA 18
24;83;1;01/08/2025;20/08/2025;1,802;ES RIBA-ROJA;MENSUAL;TARIFA 18
24;84;1;01/08/2025;20/08/2025;1,802;ES PISTA DE SILLA;MENSUAL;TARIFA 18
24;85;1;01/08/2025;20/08/2025;1,802;ES REAL DE GANDIA;MENSUAL;TARIFA 18
24;87;1;01/08/2025;20/08/2025;1,802;ES CHIVA;MENSUAL;TARIFA 18
24;88;1;01/08/2025;20/08/2025;1,802;ES ALBERIC;MENSUAL;TARIFA 18
24;18;1;01/08/2025;20/08/2025;1,790;ABRERA;MENSUAL;TARIFA 18
24;70;1;01/08/2025;20/08/2025;1,826;VALDEHERRERA;MENSUAL;TARIFA 18
24;23;1;01/08/2025;20/08/2025;1,826;EL CASAR;MENSUAL;TARIFA 18
